time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-05-01T20:00:07.120Z,-23.284,-66.7561,215.47,4.6,mb,,52,2.095,1.55,us,us20002aqv,2015-05-01T20:22:26.993Z,"109km W of El Aguilar, Argentina",earthquake
2015-05-01T17:47:56.870Z,40.9552,143.008,42.35,4.5,mb,,109,1.064,1.02,us,us20002aq3,2015-05-01T21:38:07.531Z,"137km ENE of Hachinohe, Japan",earthquake
2015-05-01T17:16:03.570Z,5.4689,-82.6846,12.18,4.6,mb,,148,2.99,1.28,us,us20002apv,2015-05-01T20:52:43.052Z,"284km S of Punta de Burica, Panama",earthquake
2015-05-01T16:56:42.210Z,40.9485,143.1113,36.48,4.8,mb,,136,1.066,1.24,us,us20002apm,2015-05-01T17:21:01.962Z,"144km ENE of Hachinohe, Japan",earthquake
2015-05-01T16:00:10.060Z,-17.6,-178.7752,519.17,4.5,mb,,88,3.027,1.11,us,us20002ape,2015-05-01T17:07:32.059Z,"235km SE of Lambasa, Fiji",earthquake
2015-05-01T12:58:02.540Z,25.2112,123.0842,155.4,4.7,mb,,68,0.743,0.64,us,us20002an7,2015-05-01T21:00:37.541Z,"82km N of Yonakuni, Japan",earthquake
2015-05-01T08:58:41.570Z,10.7048,91.984,26.89,5.3,mb,,98,1.203,0.71,us,us20002aml,2015-05-01T14:37:39.993Z,"135km SW of Port Blair, India",earthquake
2015-05-01T08:06:04.990Z,-5.196,151.8013,57.04,6.8,mww,,18,1.061,0.77,us,us20002am6,2015-05-01T13:56:23.000Z,"106km SSW of Kokopo, Papua New Guinea",earthquake
2015-05-01T07:42:39.300Z,-2.9765,-80.4169,51.51,4.5,mb,,84,3.748,0.72,us,us20002am5,2015-05-01T15:45:21.900Z,"38km S of Playas, Ecuador",earthquake
2015-05-01T02:46:20.840Z,-9.4758,113.0126,57.24,5,mb,,65,2.91,1.24,us,us20002al3,2015-05-01T17:05:21.110Z,"123km S of Pujiharjo, Indonesia",earthquake
2015-05-01T00:21:09.650Z,-21.861,170.7004,143.01,5.1,mb,,43,3.956,0.74,us,us20002aki,2015-05-01T08:23:42.525Z,"151km WNW of Ile Hunter, New Caledonia",earthquake
2015-04-30T19:21:18.190Z,26.2355,94.8075,10,4.8,mb,,45,2.74,1.53,us,us20002aid,2015-05-01T18:24:03.137Z,"5km SSW of Tuensang, India",earthquake
2015-04-30T16:49:36.440Z,5.7892,126.2833,118.75,4.5,mb,,69,1.451,1.06,us,us20002ahh,2015-05-01T13:59:31.651Z,"64km S of Pondaguitan, Philippines",earthquake
2015-04-30T10:45:05.260Z,-5.3917,151.8179,48.88,6.7,mwc,,15,1.241,0.96,us,us20002ag9,2015-04-30T15:42:18.000Z,"125km SSW of Kokopo, Papua New Guinea",earthquake
2015-04-30T10:19:08.440Z,-60.403,-26.8476,10,5.8,mb,,54,14.769,1.26,us,us20002ag2,2015-04-30T18:21:48.808Z,"153km S of Bristol Island, South Sandwich Islands",earthquake
2015-04-30T06:29:56.720Z,38.5238,-29.1624,10,4.7,mb,,91,0.743,0.6,us,us20002aeh,2015-04-30T14:32:35.532Z,"40km W of Ribeira Grande, Portugal",earthquake
2015-04-30T05:34:23.470Z,-17.7632,-178.6761,557.39,4.6,mb,,80,3.117,0.78,us,us20002aea,2015-04-30T13:36:53.656Z,"254km SE of Lambasa, Fiji",earthquake
2015-04-30T05:08:55.870Z,0.7483,126.2358,45.87,4.7,mb,,62,1.131,0.77,us,us20002ae9,2015-04-30T13:11:33.829Z,"125km W of Kota Ternate, Indonesia",earthquake
2015-04-30T00:43:27.080Z,-23.6514,-67.7961,111.3,4.9,mb,,64,1.456,1.14,us,us20002acr,2015-04-30T08:46:03.976Z,"92km SSE of San Pedro de Atacama, Chile",earthquake
2015-04-29T22:10:52.170Z,28.4134,87.2704,10,4.5,mb,,91,4.977,0.91,us,us20002abh,2015-04-30T06:17:22.763Z,"30km SE of Xegar, China",earthquake
2015-04-29T16:09:52.160Z,40.0836,142.7651,39.67,5.2,mb,,102,1.742,0.96,us,us20002a7q,2015-05-01T10:21:49.744Z,"85km NE of Miyako, Japan",earthquake
2015-04-29T11:22:42.190Z,11.9115,-88.9266,31.38,5,mb,,116,1.789,1.05,us,us20002a56,2015-04-29T19:25:24.483Z,"157km SSW of Puerto El Triunfo, El Salvador",earthquake
2015-04-29T06:54:37.370Z,-31.6416,-174.5316,10,5.1,mb,,157,8.348,1.01,us,us20002a2h,2015-04-29T14:58:00.727Z,"Kermadec Islands region",earthquake
2015-04-29T02:37:46.190Z,27.473,53.3862,10,4.9,mb,,44,3.569,0.76,us,us20002a1c,2015-04-29T21:21:55.986Z,"77km WSW of Gerash, Iran",earthquake
2015-04-29T00:26:51.300Z,25.9589,128.4013,12.39,5,mb,,65,0.881,0.85,us,us20002a0t,2015-04-29T12:10:14.564Z,"67km SE of Haebaru, Japan",earthquake
2015-04-28T23:50:14.610Z,-5.1122,129.7558,204.58,4.5,mb,,76,3.237,0.92,us,us20002a0r,2015-04-29T07:52:54.252Z,"210km SE of Saparua, Indonesia",earthquake
2015-04-28T21:09:57.640Z,-5.4096,147.0619,177.29,4.5,mb,,152,3.97,0.48,us,us200029zk,2015-04-29T05:12:24.466Z,"141km E of Madang, Papua New Guinea",earthquake
2015-04-28T18:56:53.460Z,17.1424,-94.9899,111,5.5,mww,,43,2.864,1.15,us,us200029ys,2015-04-30T16:10:02.525Z,"8km E of Palomares, Mexico",earthquake
2015-04-28T17:49:52.170Z,43.1827,145.7214,78.93,4.5,mb,,143,2.224,0.83,us,us200029yd,2015-04-30T13:33:41.529Z,"19km SE of Nemuro, Japan",earthquake
2015-04-28T16:39:39.080Z,-20.8661,-178.6384,579.35,6.1,mww,,24,4.404,0.88,us,us200029x8,2015-04-29T01:56:22.000Z,"24km SSE of Ndoi Island, Fiji",earthquake
2015-04-28T13:32:40.250Z,6.05,152.0387,15.82,5.1,mb,,59,16.104,0.7,us,us200029vw,2015-04-28T21:35:15.505Z,"113km SW of Piis, Micronesia",earthquake
2015-04-28T12:41:37.200Z,-27.5291,-63.0324,603.91,4.6,mb,,45,5.227,0.83,us,us200029vq,2015-04-28T20:44:11.238Z,"58km SSE of El Hoyo, Argentina",earthquake
2015-04-28T11:19:52.230Z,-2.1511,-79.672,99.97,5.3,mb,,52,2.668,1.15,us,us200029t7,2015-04-29T15:32:17.157Z,"4km SSE of Yaguachi, Ecuador",earthquake
2015-04-28T07:33:23.380Z,10.2664,-84.6467,74.27,4.6,mb,,56,0.302,1.27,us,us200029st,2015-04-28T13:48:25.194Z,"11km SSW of Pocosol, Costa Rica",earthquake
2015-04-28T05:11:01.760Z,-4.8747,133.9207,16.76,4.7,mb,,111,2.56,0.39,us,us200029sh,2015-04-28T13:13:28.815Z,"103km NNW of Dobo, Indonesia",earthquake
2015-04-28T05:03:25.210Z,37.2968,71.9401,166.21,4.6,mb,,43,1.102,0.78,us,us200029sf,2015-04-28T13:05:53.739Z,"10km ENE of Roshtqal'a, Tajikistan",earthquake
2015-04-27T22:11:13.880Z,-56.25,-27.0714,107.52,4.6,mb,,102,5.733,0.72,us,us200029pl,2015-04-28T06:13:50.992Z,"50km N of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake
2015-04-27T18:59:56.750Z,28.0036,84.7534,20.01,4.8,mb,,60,5.84,0.69,us,us200029ma,2015-04-28T12:35:39.663Z,"44km ESE of Lamjung, Nepal",earthquake
2015-04-27T17:34:49.740Z,2.033,124.7774,251.6,4.5,mb,,85,2.875,0.73,us,us200029ls,2015-04-28T01:37:19.004Z,"60km N of Manado, Indonesia",earthquake
2015-04-27T15:51:46.230Z,27.6385,85.0551,10,4.5,mb,,140,5.717,0.81,us,us200029lc,2015-04-28T04:48:22.758Z,"22km WSW of Kirtipur, Nepal",earthquake
2015-04-27T15:48:28.360Z,3.6303,123.0911,524.16,4.5,mb,,100,3.403,0.64,us,us200029l6,2015-04-27T23:51:11.603Z,"296km SSE of Tabiauan, Philippines",earthquake
2015-04-27T14:16:29.760Z,34.9848,26.8342,10,4.5,mb,,144,0.621,0.95,us,us200029kh,2015-04-27T22:19:04.441Z,"58km ESE of Palaikastron, Greece",earthquake
2015-04-27T12:35:52.990Z,26.827,88.1055,29.42,5.1,mb,,34,3.595,0.67,us,us200029k7,2015-05-01T16:15:00.377Z,"10km SW of Mirik, India",earthquake
2015-04-27T12:04:59.150Z,6.0508,126.0935,149.83,4.6,mb,,121,5.395,0.5,us,us200029k3,2015-04-27T20:07:35.143Z,"35km SSW of Pondaguitan, Philippines",earthquake
2015-04-27T05:34:33.190Z,26.4512,53.4892,34.74,4.7,mb,,57,2.872,0.71,us,us200029j2,2015-04-27T07:15:40.196Z,"54km WSW of Kish, Iran",earthquake
2015-04-26T23:35:28.900Z,-8.3056,-79.8288,14.67,5.4,mb,,41,4.693,0.88,us,us200029gw,2015-04-29T23:20:53.000Z,"75km WSW of Santiago de Cao, Peru",earthquake
2015-04-26T22:32:34.010Z,27.4597,85.6194,10,4.6,mb,,150,5.896,1.19,us,us200029gc,2015-04-27T18:25:19.300Z,"17km SE of Panaoti, Nepal",earthquake
