"votes","rating"
19095,6.7
29278,8.7
14344,6.1
10866,6.1
64982,8.3
21857,8
15788,7.8
24174,7.3
13497,6.8
12064,5.9
17900,6.8
18541,5.9
14651,5.4
23279,7.3
18318,7.5
21987,7.4
20705,6.2
15161,4.9
25140,7.9
11549,6.4
13765,8.1
26156,6.3
23369,7.8
14840,7.7
22499,7.6
11254,5.5
63400,8.3
24358,6
63961,8.3
13038,8.5
12724,8
38648,8
36955,8.3
11849,5.8
109991,8.5
12758,7.6
59677,8.4
41126,6.8
22752,6.3
11834,6.9
21639,6.8
13590,6.3
10543,7
15079,8.2
10510,4.1
24521,6.6
11553,6.5
14280,6
17609,7.5
21462,8.3
16312,7
19531,6.4
11214,8.4
64785,8.5
41098,7.5
17189,7.1
45330,5.7
22118,7.4
36623,6.8
47441,7.7
22870,6.2
33755,7
37019,6.5
11499,3.4
16217,7.5
11835,7.4
16988,7.4
68647,8.1
28547,7
24682,6.7
12637,6.6
15326,6.4
13087,6.1
11189,7.2
12382,6.7
12285,8
10223,7.5
19520,6.7
35927,7.4
28457,3.6
24025,5.4
23010,6.5
12138,7.9
14970,2.4
15020,5.8
43291,7.8
25672,7.8
11439,5.9
20966,7.1
10856,6.1
55079,7.9
10521,8
21031,8.1
14437,7.3
11790,7.5
16360,7.1
10446,5.8
18660,7.2
18258,5.9
31525,8.1
50179,8
10803,6.7
12277,6.6
16725,7.7
11626,6.1
12429,6.5
20072,7.8
32530,7.6
24372,6.8
17139,6.6
74749,8.2
39814,6.1
17166,7.7
18670,7.1
18756,7.7
28964,7.7
11415,5.3
17766,6.2
12653,7.9
27380,7.6
17935,7.7
28920,8.5
11480,7
11911,7.5
29871,7.3
19878,7.3
15000,6.4
36747,8.5
14456,7.6
10319,7.7
11552,7.5
92437,8.3
30735,8
24223,7.6
12246,7.7
10494,7.7
22408,8.4
24791,7
11784,6.1
13989,6.7
14415,5.7
23905,6.4
23184,7.4
30224,8.8
20168,8.2
22975,7.6
17241,8.7
16266,5.5
13453,7.1
15585,7.1
13080,7.6
11778,7.2
66030,8.8
27234,7.8
34580,7.3
39915,7.6
16118,6.1
12779,6.6
25705,5.8
13990,5
32141,7.6
34933,7.5
25099,7.4
25695,8.4
20031,7.3
